slug,name,price,city_id
codigo-1530-rosa-tequila-750ml,Codigo 1530 Rosa Tequila,14750,31
jack-daniels-tennesse-whisky-750ml,Jack Daniels Tennesse Whisky,3200,31
rockford-reserve-750ml,Rockford Reserve,840,31
paul-john-nirvana-750ml,Paul John Nirvana,1850,31
brancott-estate-pinot-noir-750ml,Brancott Estate Pinot Noir,2200,31
heineken-beer-650ml,Heineken Beer,140,31
glenfiddich-grand-23-yrs-700ml,Glenfiddich Grand 23 Yrs,38000,31
makers-mark-straight-bourbon-whisky-750ml,Makers Mark Straight Bourbon Whisky,5360,31
fratelli-sangiovese-750ml,Fratelli Sangiovese,1065,31
tenjaku-gin-700ml,Tenjaku Gin,2800,31
roberto-cavalli-ultra-premium-vodka-750ml,Roberto Cavalli Ultra Premium Vodka,8750,31
the-glenlivet-xxv-700ml,The Glenlivet XXV,50000,31
sula-dindori-reserve-viognier-750ml,Sula Dindori Reserve Viognier,1150,31
kingfisher-ultra-max-650ml,Kingfisher Ultra Max,110,31
simba-roar-edition-light-pint-330ml,Simba Roar Edition Light Pint,70,31
johnnie-walker-red-label-750ml,Johnnie Walker Red Label,1800,31
jim-beam-honey-750ml,Jim Beam Honey,3200,31
bex-nahe-riesiling-qba-750ml,Bex Nahe Riesiling Qba,2739,31
mc-dowells-no-1-375ml,Mc Dowells No 1,170,31
fratelli-carbernet-franc-shiraz-750ml,Fratelli Carbernet Franc Shiraz,935,31
anakena-birdman-sauvignon-blanc-750ml,Anakena Birdman Sauvignon Blanc,1125,31
glenfiddich-21-yrs-700ml,Glenfiddich 21 Yrs,27000,31
haymans-exotic-citrus-gin-700ml,Haymans Exotic Citrus Gin,4850,31
mc-dowells-no-1-750ml,Mc Dowells No 1,340,31
breezer-blackberry-275ml,Breezer Blackberry,100,31
chivas-regal-12-yr-200ml,Chivas Regal 12 Yr,875,31
vat-69-180ml,Vat 69,260,31
sula-reisling-white-750ml,Sula Reisling White,895,31
bottega-gold-prosecco-750ml,Bottega Gold Prosecco,8500,31
johnnie-walker-black-label-1000ml,Johnnie Walker Black Label,225,31
bacardi-anejo-cuatro-4-year-750ml,Bacardi Anejo Cuatro 4 Year,2800,31
oaken-glow-750ml,Oaken Glow,550,31
romanov-375ml,Romanov,140,31
hardys-chardonnay-750ml,Hardys Chardonnay,1100,31
gianchand-750ml,Gianchand,4850,31
resolute-pink-vodka-750ml,Resolute Pink Vodka,850,31
jura-10-yrs-single-malt-700ml,Jura 10 Yrs Single Malt,6685,31
absolut-lime-750ml,Absolut Lime,2375,31
ron-barcelo-dark-gran-anejo-750ml,Ron Barcelo Dark Gran Anejo,3199,31
stranger-sons-gin-700ml,Stranger & Sons Gin,1750,31
dom-perignon-rose-750ml,Dom Perignon Rose,64406,31
creyente-mezcal-750ml,Creyente Mezcal,6500,31
mount-gay-black-barrel-1000ml,Mount Gay Black Barrel,9250,31
casa-maestri-anejo-vodka-750ml,Casa Maestri Anejo Vodka,19500,31
clase-azul-anejo-tequila-700ml,Clase Azul Anejo Tequila,134031,31
jack-daniels-fire-750ml,Jack Daniels Fire,3200,31
castillo-de-santiago-750ml,Castillo De Santiago,1420,31
golfers-shot-180ml,Golfers Shot,54,31
de-bortoli-brut-cuvee-750ml,De Bortoli Brut Cuvee,1850,31
paul-john-brilliance-750ml,Paul John Brilliance,4200,31
amaro-montenegro-750ml,Amaro Montenegro,3800,31
officers-choice-blue-180ml,Officers Choice Blue,58,31
doaab-india-craft-why-single-malt-750ml,Doaab India Craft Single Malt,3150,31
tamnavulin-scotch-700ml,Tamnavulin Scotch,5280,31
bombay-sapphire-750ml,Bombay Sapphire,2750,31
fratelli-classic-chenin-750ml,Fratelli Classic Chenin,645,31
the-botanist-islay-dry-gin-700ml,The Botanist Islay Dry Gin,6500,31
clarendelle-bordeaux-rose-750ml,Clarendelle Bordeaux Rose,3979,31
chivas-regal-18-yrs-blended-scotch-whisky-750ml,Chivas Regal 18 Yrs Blended Scotch Whisky,7550,31
chivas-regal-12-yr-1000ml,Chivas Regal 12 Yr,233,31
maya-pistola-joven-tequila-750ml,Maya Pistola Joven,2695,31
two-ocean-sauvignon-blanc-750ml,Two Ocean Sauvignon Blanc,1800,31
benchmark-old-no-8-750ml,Benchmark Old No 8,3200,31
bacardi-black-750ml,Bacardi Black,325,31
talisker-10-yrs-750ml,Talisker 10 Yrs,5800,31
bacardi-black-180ml,Bacardi Black,80,31
martell-xo-700ml,Martell XO,30000,31
heineken-beer-can-500ml,Heineken Beer Can,110,31
outback-jack-cab-merlot-750ml,Outback Jack Cab Merlot,1390,31
